,0,1
0,"Di saat yang sama tiba-tiba meledak pula kasus

1. Penghinaan SARA yang dilakukan dua komikus bodoh 
2. Persekusi yang terjadi di Bandara  
3. Pembakaran Bendera oleh Oknum
4. Menjamurnya para penista agama
5. Debat kusir anggota DPR dengan Tim Ses yang akan terus dimunculkan",0
1,"Disaat yang lain memutuskan berhenti kerjasama dengan @pardedereza @TretanMuslim karena statusnya kini yang dikucilkan masyarakat , @BBM_IDN justru pakai jasa mereka untuk iklan produknya . Apakah BBM merasa kurang jika hanya ditinggalkan masyarakat , sehingga ingin naik level ke tingkat dibenci & dikucilkan ?",0
2,aku butuh @TretanMuslim dan @pardedereza. lainnya sampah !,1
3,"Respect setinggi-tingginya buat @TretanMuslim dan @pardedereza . Segera bangkit bro, kita tunggu karya selanjutnya.",1
4,"Kalo kata Gus Dur gini yah Mas, ditunggu Comeback nya... Aku cinta Muslim dan Coki",1
5,"Siap menghadapi caci-maki, ancaman pembunuhan, dsb kah kak ? Kalau siap monggo dilanjut hehehe gw dukung penuh ",0
6,"Semoga pesan pesan sesungguhnya yaitu menyampaikan semangat toleransi dapat tersampaikan secara massive. Thank you for all the jokes, it saved my days for many times. Good luck dengan apappun yg diusahakan kedepannya.  @TretanMuslim @pardedereza",1
7,dia mana bisa jawab mas. wkwkwkwkwk dia itu cuma ikut ikutan marah biar nggak di cap munafik sama temen temen nya. wkwkwkwkk Coki penista agama,0
8,"Nih adab bcanda dlm islam. Dibaca smpe abis.. https://almanhaj.or.id/3108-bercanda-menurut-pandangan-islam.html …
Rasul pun jg bcanda tp g pke ngrugiin aplg mnyinggung& nyakitin hati org.
Yg ky gtu tuh bru disebut candaan yg cerdas& brkelas krn bersih tnpa hrs ada /mmakai ""korban"" utk mmicu tawa

*sbgian poin yg gw scpic.twitter.com/aUYoXsWDwA",0
9,Sekelas gubernur aja menghina agama di bui  .. Coy .. Apalagi sekelas kamu .. Pasti di rendam tuh di penjara sampai beku .. Azab mulai datang .. Job berkurang dan karier berakhir .. Pepatah itu nyata .. 'mulut mu harimau mu ',0
10,"Mantap membela agama (y)
Sekalian nasehatin muslim ma coki bang klo bercanda cari tema lain jgn ajaran agama buat bercanda.",0
11,sebenarnya ternyata rindu dengerin bacotannya @TretanMuslim sama @pardedereza :( @OZRadioJakarta,1
12,"Padahal kalian berdua termasuk @tretanmuslim dan @pardedereza komika cerdas, tetap semangat dan berkarya",1
13,"daging babi didengerin ke kuping dan bilang neraka neraka, melecehkan syariat",0
14,"selera humornya sebatas pesbuker mungkin om, biarin sajaa ",0
15,"Sepertinya aku harus buat kopi lagi dan ke warung sebelah beli rokok , MLI colab cania",0
16,"We love u bang abanggggg @TretanMuslim @pardedereza 

Terimakasih telah menyatukan. Mereka yg mengaku paling islam, mereka juga yg ternyata paling bisa membuat perpecahan. Tak apa. Niat kalian, kami tahu. Mereka aja yg lgi gampang tersulut. Sukses kalian",1
17,MLI tanpa @TretanMuslim @pardedereza gak tau dah apa jadinya  #hiyahiyahiya,0
18,"Tetap support @Majelislucu walau tanpa @TretanMuslim
@pardedereza & aku siap menunggu comebacknya Muslim & Coki dengan hal-hal/konten baru lainnya .",1
19,"Sesuk nek @TretanMuslim gawe video masak kok nggowo2 tumpeng gek opo meneh dicampur2 nganggo papeda, fix doi bakal entek disikat wong jawa dan wong papua. Opo meneh nek doi ngasi gojekan bab sego putih sing sangat sakral dalam kultur Indonesia, musuhe wong sak Indonesia.",0
20,MLI debat kusir kalau bukan Coki ama Muslim mah tidak seru,1
21,"Buat Coki sama Muslim, stay strong
lu berdua masih bisa berkarya, karena gua tau lu berdua ini kreatif asli. Sebagai peniluat comedy, aku menyayangkan keputusan yang kalian ambil. Memang sepertinya rejeki kalian bukan di dunia hiburan, kalau masih ada ormas beratasnamakan agama",1
22,Conge loe kuping ....sambil pegang daging babi ngomong neraka neraka itu yg dimaksud kan semuanya tahu agama Islam haram.makan daging babi terus dibuat joke yaa joke sampah pekok !!,0
23,Ada notif dari @majelislucu .. Tapi kecewa . Aku rindu Muslim dan Coki ,1
24,"muslim, coki dan para komika penista agama yakin tuh khilaf doang? khilafnya niat amat bapak-bapak. Bisa ngga bercandaannya yg pake logika dikit, sewajarnya aja. 
""Bercanda boleh asal jgn keterlaluan"" kayanya kalimat ini orang udah pasti hatam banget kan.",0
25,kelar mata lo. agama dipermainkan cuma minta maaf. babi dikasih air zamzam. kalo lu gak paham gak usah komentar,0
26,"Pagi-pagi Ibu gua udah negabahas soal lu berdua. Kata emak gua itu sebagai penistaan agama. Gua langsung aja berani menyaut ""Jadi, babi dikatai neraka itu menista agama Islam?"". Ibu gua menjawab dengan nada kasar ""Jelas, karena nada mereka itu terlihat mempermainkan Islam.""",0
27,Ancaman dan persekusi itu bibit terrorisme. Bibit² teror itu dipelihara negara untuk jadi alat politik,0
28,"aku ini pernah mondok 3 tahun, dan kuliah 5 tahun di fakultas syariah. Sedikit pun aku tidak menemukan Syariat Islam yang Muslim dan Coki tertawakan, justru menurut aku @TretanMuslim ber dakwah menggunakan sarana yang berbeda dari para pendakwah pada umumnya",1
29,lu pikir aja ya. orang yang hina dan mempermainkan aqidah orang pantasnya diapain. ayo gunakan potensi otak mu,0
30,"Ust. Hanan Attaki kembali diserang sama komen komen umat lucu yang ngebela Tretan Muslim dan Coki .

Huft , bingung aku .
Sebegitu ngebelanya sampe nyerang-nyerang macem gitu .",0
31,"Sebenarnya saya suka stand up nya tretan muslim, tapi ketika agama di jadikan bahan bercanda, saya nga setuju. Berarti menurut mereka agama bisa buat bercanda, sangat tdk bijaksana. 
Instropeksi lah. Cari rejeki nda selalu dengan cara yg ngawur.",0
32,"Jika proses hukum atas dugaan penistaan agama yg dilakukan @pardedereza dan @TretanMuslim terhenti krn permintaan maaf maka bangsa ini akan hancur karena hukum tidak tegak menjadi panglima, keadilan hanya slogan, dan kerusakan menjadi bahan guyonan.",0
33,"MLI sekarang ikut banci banci club ya ?
LEMAHH !!!",0
34,Luar biasa . Eropa yg nota benenya mayoritas non muslim pun tdk mendukung penghinaan agama.,0
35,Aku juga tersinggung kenapa tretan Muslim bilang daging babi haram,0
36,"Tolong aku butuh asupan kelucuan dari @TretanMuslim dan @pardedereza 
Sekian
Terima saran",1
37,"@TretanMuslim mudah2an Allah benar-benar menutup surga-Nya untuk manusia laknat dan munafik kayak kamu , lulusan D3 KEPERAWATAN hiya hiya hiya . pantes dobol cuma D3 .",0
38,"Mungkin lebih tepat disebut mengolok-olok

Kalau dianggap ajakan masuk Islam jelas gk mungkin, karena Coki sendiri non-muslim

aku suka konten mereka dari jaman roasting kok, tapi utk kali ini rasanya sdh mulai menyentuh batas

Padahal aku yakin mereka bisa lebih kreatif",0
39,"Rigen-Rispo di Debat Kusir lucu bgt, minggir dulu tuy hiyahiyahiya sama Bukan golongan kami, biar Maroon five, maroon six, maroon seven masuk, bg*st!",0
40,merefresh home youtube secara rutin berharap debat kusir buat klarifikasi kalo video kemaren cuma prank,1
